Nom_medicament
"A 313 200 000 UI POUR CENT, pommade"
"MERCALM, comprimé pelliculé sécable"
"MERCILON, comprimé"
"MERCRYL SOLUTION MOUSSANTE, solution pour application cutanée"
"MERCRYL, solution pour application cutanée"
"MERCRYLSPRAY, solution pour application cutanée en flacon pressurisé"
"MERCUR SOL Complexe n°39, comprimé sublingual"
"MERONEM 1 g, poudre pour solution injectable ou pour perfusion"
"MEROPENEM 1 g, poudre pour solution injectable ou pour perfusion"
"MEROPENEM 1 g, poudre pour solution injectable/pour perfusion"
"MEROPENEM 500 mg, poudre pour solution injectable/pour perfusion"
"MEROPENEM ACS DOBFAR 1 g, poudre pour solution injectable/pour perfusion"
"MEROPENEM BRADEX 1 g, poudre pour solution injectable ou pour perfusion"
"MEROPENEM HIKMA 1 g, poudre pour solution injectable/pour perfusion"
"MEROPENEM HIKMA 500 mg, poudre pour solution injectable/pour perfusion"
"MEROPENEM KABI 1 g, poudre pour solution injectable ou pour perfusion"
"MEROPENEM KALCEKS 1 g, poudre pour solution injectable/pour perfusion"
"MEROPENEM QILU 1 g, poudre pour solution injectable/pour perfusion"
"MEROPENEM TAMRISA 1 g, poudre pour solution injectable / pour perfusion"
"MEROPENEM TAMRISA 500 mg, poudre pour solution injectable / pour perfusion"
"MEROPENEM VENUS PHARMA 1 g, poudre pour solution injectable/pour perfusion"
"MESNA 100 mg/ml, solution injectable pour perfusion"
"MESOCAÏNE 25 mg/5 ml, solution injectable"
"MESOCAÏNE 50 mg/5 ml, solution injectable"
"MESTINON 60 mg, comprimé enrobé"
"MESTINON LP 180 mg, comprimé à libération prolongée"
"METAFLU 2.0 GBq/mL, solution injectable"
"METALYSE 10 000 unités (50 mg), poudre et solvant pour solution injectable"
"METALYSE 5000 unités (25 mg), poudre pour solution injectable"
"METATRACE FDG, solution injectable"
"METEOSPASMYL, capsule molle"
"METEOXANE, gélule"
"METFORMINE 1000 mg, comprimé dispersible"
"METFORMINE 1000 mg, comprimé pelliculé"
"METFORMINE 1000 mg, comprimé pelliculé sécable"
"METFORMINE 500 mg, comprimé dispersible"
"METFORMINE 500 mg, comprimé pelliculé"
"METFORMINE 850 mg, comprimé dispersible"
"METFORMINE 850 mg, comprimé pelliculé"
"METFORMINE FRANCE 850 mg, comprimé pelliculé"
"METFORMINE K.S. 500 mg, comprimé pelliculé"
"METFORMINE PHARMA 1000 mg, comprimé pelliculé"
"METFORMINE PHARMA 500 mg, comprimé pelliculé"
"METFORMINE PHARMA 850 mg, comprimé pelliculé"
"METFORMINE SUN 500 mg, comprimé pelliculé"
"METFORMINE SUN 850 mg, comprimé pelliculé"
"METHADONE AH-HP 40 mg/15 ml, sirop en récipient unidose"
"METHADONE AP-HP 1 mg, gélule"
"METHADONE AP-HP 1,33 mg/ml, sirop"
"METHADONE AP-HP 10 mg, gélule"
"METHADONE AP-HP 10 mg/7,5 ml, sirop en récipient unidose"
"METHADONE AP-HP 20 mg, gélule"
"METHADONE AP-HP 20 mg/ 15 ml, sirop en récipient unidose"
"METHADONE AP-HP 40 mg, gélule"
"METHADONE AP-HP 5 mg, gélule"
"METHADONE AP-HP 5 mg/3,75 ml, sirop en récipient unidose"
"METHADONE AP-HP 60 mg/15 ml, sirop en récipient unidose"
"METHERGIN 0,20 mg/1 ml, solution injectable, ampoule"
"METHOCARBAMOL 500 mg, comprimé pelliculé"
"METHOTREXATE 10 POUR CENT (1 g/10 mL), solution injectable"
"METHOTREXATE 10 POUR CENT (5 g/50 mL), solution injectable"
"METHOTREXATE 10 mg, comprimé"
"METHOTREXATE 100 mg/mL, solution à diluer pour perfusion"
"METHOTREXATE 100 mg/ml, solution injectable"
"METHOTREXATE 2,5 POUR CENT (50 mg/2 mL), solution injectable"
"METHOTREXATE 2,5 POUR CENT (500 mg/20 mL), solution injectable"
"METHOTREXATE 2,5 mg, comprimé"
"METHOTREXATE 2,5 mg/ml, solution injectable"
"METHOTREXATE 25 mg/ml, solution injectable"
"METHOTREXATE 50 mg/2 ml, solution injectable"
"METHOTREXATE 50 mg/mL, solution injectable en seringue préremplie"
"METHOTREXATE BELLON 2,5 mg, comprimé"
"METHOTREXATE BIODIM 25 mg/1 mL, solution injectable"
"METHOTREXATE BIODIM 5 mg/2 mL, solution injectable"
"METHOXSALENE MACOPHARMA 20 microgrammes/mL, solution pour la modification de la fraction sanguine"
"METHYLPHENIDATE LP 10 mg, gélule à libération prolongée"
"METHYLPHENIDATE LP 18 mg, comprimé à libération prolongée"
"METHYLPHENIDATE LP 20 mg, gélule à libération prolongée"
"METHYLPHENIDATE LP 30 mg, gélule à libération prolongée"
"METHYLPHENIDATE LP 36 mg, comprimé à libération prolongée"
"METHYLPHENIDATE LP 40 mg, gélule à libération prolongée"
"METHYLPHENIDATE LP 54 mg, comprimé à libération prolongée"
"METHYLPREDNISOLONE 1 g, poudre pour solution injectable (I.V.)"
"METHYLPREDNISOLONE 120 mg, poudre pour solution injectable (IM-IV)"
"METHYLPREDNISOLONE 20 mg, poudre pour solution injectable (IM-IV)"
"METHYLPREDNISOLONE 40 mg, poudre pour solution injectable (IM-IV)"
"METHYLPREDNISOLONE 500 mg, poudre pour solution injectable"
"METHYLPREDNISOLONE HIKMA 1 g, poudre pour solution injectable"
"METHYLPREDNISOLONE HIKMA 40 mg, poudre pour solution injectable"
"METHYLPREDNISOLONE HIKMA 500 mg, poudre pour solution injectable"
"METOCLOPRAMIDE 10 mg, comprimé sécable"
"METOJECT 10 mg/0,2 ml, solution injectable en seringue préremplie"
"METOJECT 10 mg/0,20 ml, solution injectable en stylo prérempli"
"METOJECT 12,5 mg/0,25 ml, solution injectable en stylo prérempli"
"METOJECT 15 mg/0,3 ml, solution injectable en seringue préremplie"
"METOJECT 15 mg/0,30 ml, solution injectable en stylo prérempli"
"METOJECT 17,5 mg/0,35 ml, solution injectable en stylo prérempli"
"METOJECT 20 mg/0,4 ml, solution injectable en seringue préremplie"
"METOJECT 20 mg/0,40 ml, solution injectable en stylo prérempli"
"METOJECT 22,5 mg/0,45 ml, solution injectable en stylo prérempli"
"METOJECT 25 mg/0,5 ml, solution injectable en seringue préremplie"
"METOJECT 25 mg/0,50 ml, solution injectable en stylo prérempli"
"METOJECT 27,5 mg/0,55 ml, solution injectable en stylo prérempli"
"METOJECT 30 mg/0,60 ml, solution injectable en stylo prérempli"
"METOJECT 7,5 mg/0,15 ml, solution injectable en seringue préremplie"
"METOJECT 7,5 mg/0,15 ml, solution injectable en stylo prérempli"
"METOPIMAZINE 7,5 mg SANS SUCRE, comprimé orodispersible édulcoré à laspartam"
"METOPIMAZINE CONSEIL 7,5 mg SANS SUCRE, comprimé orodispersible édulcoré à laspartam"
"METOPIMAZINE VENIPHARM 7,5 mg SANS SUCRE, comprimé orodispersible édulcoré à laspartam"
"METOPIRONE 250 mg, capsule"
"METOPROLOL 100 mg, comprimé"
"METOPROLOL 100 mg, comprimé pelliculé sécable"
"METOPROLOL 100 mg, comprimé sécable"
"METOPROLOL 50 mg, comprimé"
"METOPROLOL 50 mg, comprimé pelliculé sécable"
"METOTAB 10 mg, comprimé sécable"
"METOTAB 2,5 mg, comprimé"
"METRONIDAZOLE 250 mg, comprimé pelliculé"
"METRONIDAZOLE 500 mg, comprimé pelliculé"
"METRONIDAZOLE 500 mg, comprimé pelliculé sécable"
"METRONIDAZOLE B BRAUN 0,5 %, solution pour perfusion"
"METRONIDAZOLE BAXTER 0,5 POUR CENT, solution injectable en poche"
"METRONIDAZOLE LAVOISIER 0,5 POUR CENT (500 mg/100 ml), solution injectable pour perfusion"
"METRONIDAZOLE NORIDEM 500 mg/100 mL, solution pour perfusion"
"METRONIDAZOLE SUBSTIPHARM 250 mg, comprimé pelliculé"
"METRONIDAZOLE SUBSTIPHARM 500 mg, comprimé pelliculé"
"METYRAPONE ESTEVE 250 mg, capsule molle"
"MIACALCIC 50 U.I./1 ml, solution injectable ou pour perfusion"
"MIANSERINE 10 mg, comprimé pelliculé"
"MIANSERINE 30 mg, comprimé pelliculé"
"MIANSERINE 30 mg, comprimé pelliculé sécable"
"MIANSERINE 60 mg, comprimé pelliculé sécable"
MIBG [123 I] 74 MBq/mL solution injectable
"MICAFUNGINE 100 mg, poudre pour solution à diluer pour perfusion"
"MICAFUNGINE 50 mg, poudre pour solution à diluer pour perfusion"
"MICAFUNGINE HIKMA 100 mg, poudre pour solution à diluer pour perfusion"
"MICAFUNGINE HIKMA 50 mg, poudre pour solution à diluer pour perfusion"
"MICAFUNGINE REIG JOFRE 100 mg, poudre pour solution à diluer pour perfusion"
"MICAFUNGINE REIG JOFRE 50 mg, poudre pour solution à diluer pour perfusion"
"MICAFUNGINE STRAGEN 100 mg, poudre pour solution à diluer pour perfusion"
"MICAFUNGINE STRAGEN 50 mg, poudre pour solution à diluer pour perfusion"
"MICARDIS 40 mg, comprimé"
"MICARDIS 80 mg, comprimé"
"MICARDISPLUS 40 mg/12,5 mg, comprimé"
"MICARDISPLUS 80 mg/12,5 mg, comprimé"
"MICARDISPLUS 80 mg/25 mg, comprimé"
"MICROLAX BEBE SORBITOL CITRATE ET LAURILSULFOACETATE DE SODIUM, solution rectale en récipient unidose"
"MICROLAX SORBITOL CITRATE ET LAURILSULFOACETATE DE SODIUM, solution rectale en récipient unidose"
"MICROPAKINE L.P. 1 000 mg, granulés à libération prolongée en sachet-dose"
"MICROPAKINE L.P. 100 mg, granulés à libération prolongée en sachet-dose"
"MICROPAKINE L.P. 250 mg, granulés à libération prolongée en sachet-dose"
"MICROPAKINE L.P. 500 mg, granulés à libération prolongée en sachet-dose"
"MICROPAKINE L.P. 750 mg, granulés à libération prolongée en sachet-dose"
"MICROPAQUE SCANNER, suspension buvable à diluer"
"MICROPAQUE, suspension buvable ou rectale"
"MICROTRAST, pâte orale"
"MICROVAL, comprimé enrobé"
"MIDAZOLAM 1 mg/ml, solution injectable"
"MIDAZOLAM 1 mg/ml, solution injectable ou rectale"
"MIDAZOLAM 5 mg/ml, solution injectable"
"MIDAZOLAM 5 mg/ml, solution injectable ou rectale"
"MIDAZOLAM AGUETTANT 1 mg/ml, solution injectable"
"MIDAZOLAM AGUETTANT 5 mg/ml, solution injectable"
"MIDAZOLAM KALCEKS 1 mg/mL, solution injectable/pour perfusion"
"MIDAZOLAM KALCEKS 5 mg/mL, solution injectable/pour perfusion"
"MIDAZOLAM SUN 1 mg/mL, solution injectable ou pour perfusion en seringue préremplie"
"MIDAZOLAM SUN 2 mg/mL, solution injectable ou pour perfusion en seringue préremplie"
"MIDODRINE 2,5 mg, comprimé"
"MIDODRINE SUBSTIPHARM 2,5 mg, comprimé"
"MIFEGYNE 200 mg, comprimé"
"MIFEGYNE 600 mg, comprimé"
"MIFLASONE 200 microgrammes, poudre pour inhalation en gélule"
"MIFLASONE 400 microgrammes, poudre pour inhalation en gélule"
"MIFLONIL 200 microgrammes, poudre pour inhalation en gélule"
"MIFLONIL 400 microgrammes, poudre pour inhalation en gélule"
"MIFLONIL BREEZHALER 200 microgrammes, poudre pour inhalation en gélule"
"MIFLONIL BREEZHALER 400 microgrammes, poudre pour inhalation en gélule"
"MIGLUSTAT 100 mg, gélule"
"MIGLUSTAT BLUEFISH 100 mg, gélule"
"MIGLUSTAT DIPHARMA 100 mg, gélule"
"MIGLUSTAT GEN.ORPH 100 mg, gélule"
"MIGPRIV, poudre pour solution buvable en sachet"
"MIKICORT 3 mg, gélule gastro-résistante"
"MIKICORT 9 mg, granulés gastro-résistants"
"MILDAC 300 mg, comprimé enrobé"
"MILDAC 600 mg, comprimé enrobé"
"MILEVONI 100 microgrammes/20 microgrammes, comprimé enrobé"
"MILEVONI 150 microgrammes/30 microgrammes, comprimé enrobé"
"MILNACIPRAN 25 mg, gélule"
"MILNACIPRAN 50 mg, gélule"
"MILRINONE CARINOPHARM 1 mg/ml, solution injectable/pour perfusion"
"MILRINONE MEDAC 10 mg/10 ml, solution injectable"
"MILRINONE STRAGEN 1 mg/ml, solution injectable"
"MILRINONE TILLOMED 1 mg/mL, solution injectable/pour perfusion"
"MIMPARA 1 mg, granulés en gélule"
"MIMPARA 2,5 mg, granulés en gélule"
"MIMPARA 30 mg, comprimé pelliculé"
"MIMPARA 5 mg, granulés en gélule"
"MIMPARA 60 mg, comprimé pelliculé"
"MIMPARA 90 mg, comprimé pelliculé"
"MINALFENE 300 mg, comprimé pelliculé"
"MINERVA 35 microgrammes, comprimé enrobé"
"MINESSE 60 microgrammes/15 microgrammes, comprimé pelliculé"
"MINI-SINTROM 1 mg, comprimé"
"MINIDRIL, comprimé enrobé"
"MINIRIN 0,1 mg, comprimé"
"MINIRIN 0,1 mg/mL, solution pour administration endonasale"
"MINIRIN 4 microgrammes/mL, solution injectable"
"MINIRIN SPRAY 10 microgrammes par dose, solution endonasale en flacon pulvérisateur"
"MINIRINMELT 120 microgrammes, lyophilisat oral"
"MINIRINMELT 240 microgrammes, lyophilisat oral"
"MINIRINMELT 60 microgrammes, lyophilisat oral"
"MINJUVI 200 mg, poudre pour solution à diluer pour perfusion"
"MINOXIDIL BAILLEUL 2 %, solution pour application cutanée"
"MINOXIDIL BAILLEUL 5 %, solution pour application cutanée"
"MINOXIDIL CONSEIL 2 %, solution pour application cutanée"
"MINOXIDIL CONSEIL 5 %, solution pour application cutanée"
"MINOXIDIL COOPER 2 %, solution pour application cutanée en flacon"
"MINOXIDIL COOPER 5 %, solution pour application cutanée"
"MINULET, comprimé enrobé"
"MIOCHOLE 20 mg, poudre et solvant pour solution intraoculaire"
"MIOREL 4 mg, gélule"
"MIOREL 4 mg/2 ml, solution injectable (IM) en ampoule"
"MIOSTAT 100 microgrammes/ml, solution injectable pour voie intra-oculaire"
"MIRCERA 100 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"MIRCERA 120 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"MIRCERA 150 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"MIRCERA 200 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"MIRCERA 250 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"MIRCERA 30 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"MIRCERA 360 microgrammes/0,6 ml, solution injectable en seringue préremplie"
"MIRCERA 50 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"MIRCERA 75 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"MIRENA 52 mg (20 microgrammes/24 heures), dispositif intra-utérin"
"MIRTAZAPINE 15 mg, comprimé orodispersible"
"MIRTAZAPINE 15 mg, comprimé pelliculé"
"MIRTAZAPINE 15 mg, comprimé pelliculé sécable"
"MIRTAZAPINE BLUEFISH 15 mg, comprimé orodispersible"
"MIRTAZAPINE GENERIQUES 15 mg, comprimé pelliculé"
"MIRVASO 3 mg/g, gel"
"MISOLFA 2 mg/0,03 mg, comprimé pelliculé"
"MISOONE 400 microgrammes, comprimé sécable"
"MITOMYCINE 10 mg, poudre pour solution injectable / perfusion ou voie intravésicale"
"MITOMYCINE 20 mg, poudre pour solution injectable / perfusion ou voie intravésicale"
"MITOMYCINE MEDAC 40 mg, poudre pour solution intravésicale"
"MITOMYCINE SUBSTIPHARM 20 mg, poudre pour solution injectable/perfusion ou voie intravésicale"
"MITOXANTRONE 2 mg/mL, solution à diluer pour perfusion"
"MIVACRON 10 mg/5 ml, solution injectable (IV)"
"MIVACRON 20 mg/10 ml, solution injectable (IV)"
"MIXTARD 30 100 unités internationales/ml, suspension injectable"
"MIZOCLER 10 mg, comprimé pelliculé à libération modifiée"
"MIZOLLEN 10 mg, comprimé à libération modifiée"
"MOBIC 15 mg, comprimé sécable"
"MOBIC 15 mg/1,5 ml, solution injectable"
"MOBIC 7,5 mg, comprimé"
"MOCLAMINE 150 mg, comprimé pelliculé sécable"
"MODAFINIL 100 mg, comprimé"
"MODAMIDE 5 mg, comprimé"
"MODANE, comprimé enrobé"
"MODIGRAF 0,2 mg, granulés pour suspension buvable"
"MODIGRAF 1 mg, granulés pour suspension buvable"
"MODIODAL 100 mg, comprimé"
"MODOPAR 125 (100 mg/25 mg), gélule"
"MODOPAR 125 DISPERSIBLE (100 mg/25 mg), comprimé sécable pour suspension buvable"
"MODOPAR 250 (200 mg/50 mg), gélule"
"MODOPAR 62,5 (50 mg/12,5 mg), gélule"
"MODOPAR L.P. 125 (100 mg/25 mg), gélule à libération prolongée"
"MODUCREN, comprimé"
"MODURETIC, comprimé sécable"
"MOGADON 5 mg, comprimé sécable"
"MOLSIDOMINE 2 mg, comprimé sécable"
"MOLSIDOMINE 4 mg, comprimé"
"MOLSIDOMINE 4 mg, comprimé sécable"
"MOMETASONE 50 microgrammes/dose, suspension pour pulvérisation nasale"
"MOMETASONE SUBSTIPHARM 50 microgrammes/dose, suspension pour pulvérisation nasale"
"MONAZOL, ovule"
"MONO TILDIEM LP 200 mg, gélule à libération prolongée"
"MONO TILDIEM LP 300 mg, gélule à libération prolongée"
"MONOALGIC L.P. 100 mg, comprimé à libération prolongée (UNE PRISE QUOTIDIENNE)"
"MONOALGIC L.P. 200 mg, comprimé à libération prolongée (UNE PRISE QUOTIDIENNE)"
"MONOALGIC L.P. 300 mg, comprimé à libération prolongée (UNE PRISE QUOTIDIENNE)"
"MONOCRIXO L.P. 100 mg, gélule à libération prolongée (UNE PRISE QUOTIDIENNE)"
"MONOCRIXO L.P. 150 mg, gélule à libération prolongée (UNE PRISE QUOTIDIENNE)"
"MONOCRIXO L.P. 200 mg, gélule à libération prolongée (UNE PRISE QUOTIDIENNE)"
"MONOFLOCET 200 mg, comprimé pelliculé"
"MONOKETO 0,25 mg/ml, collyre en solution en récipient unidose"
"MONOOX 1,5 mg/0,5 ml, collyre en solution en récipient unidose"
"MONOPROST 50 microgrammes/ml, collyre en solution"
"MONOPROST 50 microgrammes/ml, collyre en solution en récipient unidose"
"MONOSEPT 0,25 POUR MILLE (0,1 mg/0,4 ml), collyre en solution en récipient unidose"
"MONOXYDE D'AZOTE MESSER 800 PPM (V/V), gaz médicinal comprimé"
"MONOXYDE DAZOTE SOL FRANCE 250 ppm mole/mole, gaz médicinal comprimé"
"MONOXYDE DAZOTE SOL FRANCE 800 ppm mole/mole, gaz médicinal comprimé"
"MONTELUKAST 10 mg, comprimé pelliculé"
"MONTELUKAST 4 mg, comprimé à croquer"
"MONTELUKAST 4 mg, granulés"
"MONTELUKAST 4 mg, granulés en sachet"
"MONTELUKAST 4 mg, granulés en sachet-dose"
"MONTELUKAST 5 mg, comprimé à croquer"
"MONTELUKAST HEALTHCARE 10 mg, comprimé pelliculé"
"MONTELUKAST KRKA 10 mg, comprimé pelliculé"
"MONTELUKAST KRKA 4 mg, comprimé à croquer"
"MONTELUKAST KRKA 5 mg, comprimé à croquer"
"MONTELUKAST PHARMA 10 mg, comprimé pelliculé"
"MONTELUKAST PHARMA 5 mg, comprimé à croquer"
"MONURIL 3 g, granulés pour solution buvable en sachet"
"MOPRAL 10 mg, gélule gastro-résistante"
"MOPRAL 20 mg, gélule gastro-résistante"
"MOPRALPRO 20 mg, comprimé gastro-résistant"
"MORPHINE (CHLORHYDRATE) AGUETTANT 0,1 mg/mL, solution injectable"
"MORPHINE (CHLORHYDRATE) AGUETTANT 10 mg/mL, solution injectable"
"MORPHINE (CHLORHYDRATE) AGUETTANT 40 mg/mL, solution injectable"
"MORPHINE (CHLORHYDRATE) COOPER 10 mg/ml, solution injectable"
"MORPHINE (CHLORHYDRATE) LAVOISIER 10 mg/ml, solution injectable"
"MORPHINE (CHLORHYDRATE) LAVOISIER 20 mg/ml, solution injectable"
"MORPHINE (CHLORHYDRATE) RENAUDIN 1 mg/ml, solution injectable"
"MORPHINE (CHLORHYDRATE) RENAUDIN 10 mg/ml, solution injectable"
"MORPHINE (CHLORHYDRATE) RENAUDIN 20 mg/ml, solution injectable"
"MORPHINE (SULFATE) LAVOISIER 1 mg/ml, solution injectable"
"MORPHINE (SULFATE) LAVOISIER 50 mg/ml, solution injectable"
"MOSCONTIN 10 mg, comprimé enrobé à libération prolongée"
"MOSCONTIN 100 mg, comprimé enrobé à libération prolongée"
"MOSCONTIN 30 mg, comprimé enrobé à libération prolongée"
"MOSCONTIN 60 mg, comprimé enrobé à libération prolongée"
"MOSCONTIN L.P. 200 mg, comprimé pelliculé à libération prolongée"
"MOTILIUM 1 mg/ml, suspension buvable"
"MOTILIUM 10 mg, comprimé pelliculé"
MOUNJARO 10 mg/dose KwikPen solution injectable en stylo pré-rempli
"MOUNJARO 12,5 mg/dose KwikPen solution injectable en stylo pré-rempli"
MOUNJARO 15 mg/dose KwikPen solution injectable en stylo pré-rempli
"MOUNJARO 2,5 mg/dose KwikPen solution injectable en stylo pré-rempli"
MOUNJARO 5 mg/dose KwikPen solution injectable en stylo pré-rempli
"MOUNJARO 7,5 mg/dose KwikPen solution injectable en stylo pré-rempli"
"MOVENTIG 12,5 mg, comprimé pelliculé"
"MOVENTIG 25 mg, comprimé pelliculé"
"MOVICOL CHOCOLAT, poudre pour solution buvable en sachet"
"MOVICOL SANS AROME, poudre pour solution buvable en sachet"
"MOVICOL, poudre pour solution buvable en sachet"
"MOVIPREP ORANGE, poudre pour solution buvable"
"MOVIPREP, poudre pour solution buvable"
"MOVYMIA 20 microgrammes/80 microlitres, solution injectable"
"MOXIFLOXACINE 400 mg, comprimé pelliculé"
"MOXIFLOXACINE KRKA 400 mg, comprimé pelliculé"
"MOXONIDINE 0,2 mg, comprimé pelliculé"
"MOXONIDINE 0,4 mg, comprimé pelliculé"
"MOXYDAR, comprimé pour suspension buvable"
"MOXYDAR, suspension buvable en sachet"
"MOZOBIL 20 mg/ml, solution pour injection"
"MUCODRILL 600 mg SANS SUCRE, comprimé effervescent édulcoré au sucralose"
"MUCOMYST 200 mg, poudre pour solution buvable en sachet"
"MUCOPLEXIL 5 % ADULTES SANS SUCRE, sirop édulcoré à la saccharine sodique"
"MUCOPRET, comprimé pelliculé"
"MUCOTHIOL 200 mg, comprimé pelliculé"
"MULTAQ 400 mg, comprimé pelliculé"
"MULTIBIC 2 mmol/l POTASSIUM, solution pour hémodialyse/hémofiltration"
"MULTIBIC 4 mmol/l POTASSIUM, solution pour hémodialyse/hémofiltration"
"MULTIBIC SANS POTASSIUM, solution pour hémodialyse/hémofiltration"
"MULTICROM 2 %, collyre en solution"
"MULTIHANCE 0,5 mmol/mL, solution injectable (IV)"
"MULTIHANCE 0,5 mmol/mL, solution injectable en seringue pré-remplie"
"MULTILARM 0,9 POUR CENT, collyre en solution"
"MUPHORAN, poudre et solution pour usage parentéral à diluer (perfusion)"
"MUPIDERM 2 %, pommade"
"MUPIROCINE 2 %, pommade"
"MUPIROCINE 2%, pommade"
"MUPIROCINE SUBSTIPHARM 2 %, pommade"
"MUXOL, solution buvable"
"MVASI 25 mg/mL, solution à diluer pour perfusion"
"MYALEPTA 11,3 mg, poudre pour solution injectable"
"MYALEPTA 3 mg, poudre pour solution injectable"
"MYALEPTA 5,8 mg, poudre pour solution injectable"
"MYAMBUTOL 1000 mg/10 ml, solution injectable (I.M.-I.V.) en ampoule"
"MYAMBUTOL 400 mg, comprimé pelliculé sécable"
"MYCAMINE 100 mg, poudre pour solution à diluer pour perfusion"
"MYCAMINE 50 mg, poudre pour solution à diluer pour perfusion"
"MYCOAPAISYL 1 POUR CENT, poudre pour application cutanée"
"MYCOHYDRALIN 200 mg, comprimé vaginal"
"MYCOHYDRALIN 500 mg, capsule vaginale"
"MYCOHYDRALIN 500 mg, comprimé vaginal"
"MYCONAIL 80 mg/g, vernis à ongles médicamenteux"
"MYCOPHENOLATE MOFETIL 250 mg, gélule"
"MYCOPHENOLATE MOFETIL 500 mg, comprimé pelliculé"
"MYCOSTATINE 100 000 UI/ml, suspension buvable"
"MYCOSTER 1 %, solution pour application cutanée"
"MYCOSTER 1 POUR CENT, poudre pour application cutanée"
"MYCOSTER 10 mg/g, shampooing"
"MYCOSTER 8 %, solution filmogène pour application cutanée en flacon"
"MYDRANE 0,2 mg/ml + 3,1 mg/ml + 10 mg/ml, solution injectable"
"MYDRIASERT, insert ophtalmique"
"MYDRIATICUM 0,5 POUR CENT, collyre"
"MYDRIATICUM 2 mg/0,4 ml, collyre en récipient unidose"
"MYFENAX 250 mg, gélule"
"MYFENAX 500 mg, comprimé pelliculé"
"MYFORTIC 180 mg, comprimé gastro-résistant"
"MYFORTIC 360 mg, comprimé gastro-résistant"
"MYLERAN 2 mg, comprimé pelliculé"
"MYLEUGYNE L.P. 150 mg, ovule à libération prolongée"
"MYLOTARG 5 mg, poudre pour solution à diluer pour perfusion"
"MYNOCINE 100 mg, gélule"
"MYOZYME 50 mg, poudre pour solution à diluer pour perfusion"
"MYRELEZ L.P. 120 mg, solution injectable à libération prolongée en seringue préremplie"
"MYRELEZ L.P. 60 mg, solution injectable à libération prolongée en seringue préremplie"
"MYRELEZ L.P. 90 mg, solution injectable à libération prolongée en seringue préremplie"
"MYSILDECARD 20 mg, comprimé pelliculé"
"MYSOLINE 250 mg, comprimé sécable"
"MYTELASE 10 mg, comprimé"
"NAABAK 19,6 mg/0,4 ml, collyre en récipient unidose"
"NAABAK 4,9 POUR CENT, collyre en solution"
"NAAXIA, collyre"
"NAAXIAFREE 4,9 %, collyre en solution"
"NABUCOX 1 g, comprimé dispersible"
"NABUCOX 500 mg, comprimé pelliculé"
"NAFTIDROFURYL 200 mg, comprimé pelliculé"
"NAFTIDROFURYL BENTA 200 mg, comprimé pelliculé"
"NAFTILUX 200 mg, gélule"
"NAGLAZYME 1 mg/ml, solution à diluer pour perfusion"
"NALADOR 500 microgrammes, lyophilisat pour usage parentéral"
"NALBUPHINE RENAUDIN 20 mg/2 mL, solution injectable"
"NALBUPHINE SERB 20 mg/2 ml, solution injectable"
"NALGESIC 300 mg, comprimé pelliculé"
"NALOXONE 0,4 mg/1 ml, solution injectable en ampoule"
"NALOXONE AGUETTANT 0,4 mg/ml, solution injectable"
"NALSCUE 0,9 mg/0,1 ml, solution pour pulvérisation nasale en récipient unidose"
"NALTREXONE 50 mg, comprimé pelliculé sécable"
"NAMUSCLA 167 mg, gélule"
"NAPROSYNE 1000 mg, comprimé"
"NAPROSYNE 250 mg, comprimé"
"NAPROSYNE 500 mg, comprimé"
"NAPROXENE SODIQUE 550 mg, comprimé pelliculé"
"NAPROXENE SODIQUE 550 mg, comprimé pelliculé sécable"
"NARAMIG 2,5 mg, comprimé pelliculé"
"NARATRIPTAN 2,5 mg, comprimé pelliculé"
"NARAVELA 250 microgrammes/35 microgrammes, comprimé"
"NARCAN 0,4 mg/1 ml, solution injectable en ampoule"
"NAROPEINE 10 mg/ml, solution injectable en ampoule"
"NAROPEINE 2 mg/ml, solution injectable en ampoule"
"NAROPEINE 2 mg/ml, solution injectable en poche"
"NAROPEINE 5 mg/ml, solution injectable"
"NAROPEINE 7,5 mg/ml, solution injectable en ampoule"
"NASACORT 55 microgrammes par dose, suspension pour pulvérisation nasale"
"NASONEX 50 microgrammes/dose, suspension pour pulvérisation nasale"
"NATECAL VITAMINE D3, 600 mg/400 UI, comprimé orodispersible"
"NATI-K 500 mg, comprimé gastro-résistant"
"NATISPRAY 0,15 mg/dose, solution pour pulvérisation buccale"
"NATISPRAY 0,30 mg/dose, solution pour pulvérisation buccale"
"NATRIXAM 1,5 mg/10 mg, comprimé à libération modifiée"
"NATRIXAM 1,5 mg/5 mg, comprimé à libération modifiée"
"NATULAN 50 mg, gélule"
"NAUSICALM 15,7 mg ENFANTS, sirop en sachet"
"NAUSICALM ADULTES 50 mg, gélule"
"NAUSICALM, sirop"
"NAUTAMINE, comprimé sécable"
"NAVELBINE 10 mg/1 ml, solution injectable en flacon"
"NAVELBINE 20 mg, capsule molle"
"NAVELBINE 30 mg, capsule molle"
